question,expected_answer,expected_source,expected_page,subject,is_out_of_scope,category
Phương pháp siêu hình nhận thức đối tượng như thế nào?,"Phương pháp siêu hình nhận thức đối tượng trong trạng thái cô lập, tách rời, tĩnh tại và thường chỉ thấy biến đổi về lượng do nguyên nhân bên ngoài.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,10,Triết học Mác - Lênin,false,definition
Phương pháp biện chứng nhận thức đối tượng như thế nào?,"Phương pháp biện chứng nhận thức đối tượng trong các mối liên hệ, sự ảnh hưởng lẫn nhau và trong trạng thái vận động, biến đổi, phát triển.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,10,Triết học Mác - Lênin,false,definition
Phép biện chứng là gì?,"Phép biện chứng là lý luận triết học của phương pháp biện chứng, phản ánh biện chứng khách quan trong sự vận động và phát triển của thế giới.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,10,Triết học Mác - Lênin,false,definition
Các giai đoạn phát triển cơ bản của phép biện chứng gồm những gì?,"Các giai đoạn cơ bản gồm phép biện chứng tự phát thời cổ đại, phép biện chứng duy tâm trong triết học cổ điển Đức và phép biện chứng duy vật của chủ nghĩa Mác.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,11,Triết học Mác - Lênin,false,listing
Phật giáo ra đời vào khoảng thời gian nào và ai là người sáng lập?,"Phật giáo ra đời vào thế kỷ VI trước Công nguyên, do Siddharta, về sau được tôn vinh là Sakyamuni hay Buddha, sáng lập.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,15,Triết học Mác - Lênin,false,history
Phật giáo hiểu Niết bàn là gì?,"Niết bàn là trạng thái chấm dứt luân hồi và nghiệp, gắn với mục tiêu giải thoát khỏi khổ đau.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,15,Triết học Mác - Lênin,false,definition
"Theo Phật giáo, quan hệ nhân quả có đặc điểm gì?","Quan hệ nhân quả là chuỗi liên tục, không gián đoạn, nhân nào quả ấy; một kết quả lại có thể trở thành nguyên nhân của kết quả khác.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,15,Triết học Mác - Lênin,false,definition
Quan điểm vô ngã trong Phật giáo cho rằng điều gì?,"Quan điểm vô ngã cho rằng vạn vật chỉ là sự giả hợp do hội đủ nhân duyên, không có một thực thể cái tôi bất biến.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,15,Triết học Mác - Lênin,false,definition
Diệt đế trong Phật giáo nêu nội dung gì?,Diệt đế cho rằng mọi nỗi khổ có thể bị tiêu diệt để đạt tới trạng thái giải thoát hay Niết bàn.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,16,Triết học Mác - Lênin,false,definition
Đạo đế trong Phật giáo chỉ ra điều gì?,"Đạo đế chỉ ra con đường tiêu diệt khổ đau, tức con đường tu tập để đạt giải thoát.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,16,Triết học Mác - Lênin,false,definition
Thuyết Âm - Dương trong triết học Trung Hoa cổ đại dùng để giải thích điều gì?,"Thuyết Âm - Dương dùng để giải thích sự vận động, biến hóa của vũ trụ thông qua hai mặt đối lập, thống nhất và chuyển hóa lẫn nhau.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,19,Triết học Mác - Lênin,false,definition
Ngũ hành gồm những yếu tố nào?,"Ngũ hành gồm Thủy, Hỏa, Mộc, Kim và Thổ.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,20,Triết học Mác - Lênin,false,listing
Tư tưởng Ngũ hành có xu hướng giải thích vạn vật như thế nào?,Tư tưởng Ngũ hành phân tích cấu trúc của vạn vật và quy chúng về năm yếu tố khởi nguyên có tính chất khác nhau nhưng tương tác sinh - khắc với nhau.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,20,Triết học Mác - Lênin,false,definition
Nguyên tắc tương sinh của Ngũ hành được nêu như thế nào?,"Tương sinh là sự sinh hóa cho nhau, như Thổ sinh Kim, Kim sinh Thủy, Thủy sinh Mộc, Mộc sinh Hỏa và Hỏa sinh Thổ.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,20,Triết học Mác - Lênin,false,listing
Triết học Hy Lạp cổ đại ra đời trong bối cảnh xã hội nào?,"Nó ra đời trong xã hội chiếm hữu nô lệ Hy Lạp với mâu thuẫn xã hội gay gắt, kinh tế thương nghiệp phát triển và các khoa học cụ thể bắt đầu hình thành.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,25,Triết học Mác - Lênin,false,history
Đặc điểm nổi bật của triết học Hy Lạp cổ đại là gì?,"Nó gắn hữu cơ với khoa học tự nhiên, xuất hiện sớm chủ nghĩa duy vật mộc mạc và phép biện chứng tự phát, đồng thời có đấu tranh giữa duy vật và duy tâm.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,25,Triết học Mác - Lênin,false,listing
Đường lối triết học của Đêmôcrít và Platôn biểu hiện cuộc đấu tranh nào?,Đó là cuộc đấu tranh giữa chủ nghĩa duy vật và chủ nghĩa duy tâm trong triết học Hy Lạp cổ đại.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,25,Triết học Mác - Lênin,false,comparison
Đêmôcrít được nhắc đến trong giáo trình với tư cách đại biểu cho khuynh hướng nào?,Đêmôcrít là đại biểu tiêu biểu cho khuynh hướng duy vật trong triết học Hy Lạp cổ đại.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,26,Triết học Mác - Lênin,false,history
Platôn được nhắc đến trong giáo trình với tư cách đại biểu cho khuynh hướng nào?,Platôn là đại biểu tiêu biểu cho khuynh hướng duy tâm trong triết học Hy Lạp cổ đại.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,27,Triết học Mác - Lênin,false,history
Phái duy danh và phái duy thực thuộc bối cảnh triết học nào?,"Đây là hai khuynh hướng tiêu biểu trong triết học Tây Âu trung cổ, gắn với tranh luận về quan hệ giữa cái chung và cái riêng.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,30,Triết học Mác - Lênin,false,comparison
Cantơ là nhà triết học thuộc truyền thống nào?,Imanuel Cantơ là nhà triết học tiêu biểu của triết học cổ điển Đức.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,36,Triết học Mác - Lênin,false,history
Tư tưởng yêu nước Việt Nam trong giáo trình được xem xét ở khía cạnh nào?,"Giáo trình xem xét các nội dung triết học trong tư tưởng yêu nước Việt Nam, như quan niệm về dân tộc, quốc gia độc lập và vai trò của nhân dân.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,41,Triết học Mác - Lênin,false,summary
Quan niệm về nhà nước của một quốc gia độc lập gắn với nội dung gì trong tư tưởng Việt Nam?,"Nó gắn với ý thức độc lập dân tộc, chủ quyền quốc gia và khẳng định vị thế ngang hàng của quốc gia độc lập.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,43,Triết học Mác - Lênin,false,summary
Sự ra đời của triết học Mác gắn với điều kiện kinh tế - xã hội nào?,"Nó gắn với sự củng cố và phát triển của phương thức sản xuất tư bản chủ nghĩa, sự trưởng thành của giai cấp vô sản và nhu cầu lý luận cách mạng mới.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,48,Triết học Mác - Lênin,false,history
Triết học Mác giữ vai trò gì trong học thuyết của Mác và Ăngghen?,"Triết học Mác giữ vai trò cơ sở lý luận chung, cơ sở thế giới quan và phương pháp luận của học thuyết cách mạng.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,50,Triết học Mác - Lênin,false,definition
Nguồn gốc lý luận trực tiếp của triết học Mác là gì?,"Nguồn gốc lý luận trực tiếp là triết học cổ điển Đức, đặc biệt là triết học Hêghen và Phoiơbắc.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,50,Triết học Mác - Lênin,false,history
"Theo Lênin, chủ nghĩa Mác ra đời có quan hệ thế nào với văn minh thế giới?","Lênin khẳng định chủ nghĩa Mác không phải học thuyết đóng kín mà là sự kế thừa trực tiếp các thành tựu lớn của triết học, kinh tế chính trị học và chủ nghĩa xã hội.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,50,Triết học Mác - Lênin,false,summary
Quá trình hình thành triết học Mác bắt đầu từ sự chuyển biến tư tưởng của ai?,Nó bắt đầu từ quá trình chuyển biến tư tưởng của C.Mác và Ph.Ăngghen.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,52,Triết học Mác - Lênin,false,history
Thực chất cuộc cách mạng trong triết học do Mác và Ăngghen thực hiện là gì?,"Đó là sự xác lập thế giới quan duy vật biện chứng và phương pháp luận khoa học, vượt qua cả chủ nghĩa duy vật cũ lẫn phép biện chứng duy tâm.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,61,Triết học Mác - Lênin,false,summary
Giai đoạn Lênin có ý nghĩa gì đối với triết học Mác?,"Giai đoạn Lênin là sự bảo vệ, bổ sung và phát triển triết học Mác trong điều kiện lịch sử mới.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,63,Triết học Mác - Lênin,false,history
Chủ nghĩa thực chứng thuộc phần nào của giáo trình?,Chủ nghĩa thực chứng được trình bày trong phần các trào lưu triết học phương Tây hiện đại ngoài mácxít.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,66,Triết học Mác - Lênin,false,classification
Chủ nghĩa hiện sinh nhấn mạnh vấn đề gì?,"Chủ nghĩa hiện sinh thường nhấn mạnh sự tồn tại cá nhân, thân phận con người và những lựa chọn của con người trong đời sống hiện đại.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,69,Triết học Mác - Lênin,false,summary
Chủ nghĩa Phơrớt gắn với lĩnh vực nghiên cứu nào?,"Chủ nghĩa Phơrớt gắn với phân tâm học và việc lý giải đời sống tinh thần con người qua vô thức, bản năng và tâm lý cá nhân.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,71,Triết học Mác - Lênin,false,summary
Tính thống nhất vật chất của thế giới khẳng định điều gì?,"Nó khẳng định thế giới thống nhất ở tính vật chất, các sự vật và hiện tượng đều là những dạng tồn tại khác nhau của vật chất.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,77,Triết học Mác - Lênin,false,definition
Định nghĩa vật chất của Lênin xem vật chất là gì?,"Vật chất là phạm trù triết học dùng để chỉ thực tại khách quan được đem lại cho con người trong cảm giác, được cảm giác chép lại, chụp lại, phản ánh và tồn tại không lệ thuộc vào cảm giác.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,79,Triết học Mác - Lênin,false,definition
Nguyên nhân nào làm các quan điểm trước Mác về vật chất rơi vào bế tắc?,"Chúng thường đồng nhất vật chất với một dạng vật thể cụ thể hoặc thuộc tính cụ thể, nên không giải thích được các phát hiện mới của khoa học.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,80,Triết học Mác - Lênin,false,cause
Vận động được hiểu là gì trong triết học duy vật biện chứng?,"Vận động là phương thức tồn tại của vật chất, bao gồm mọi sự biến đổi nói chung của các sự vật và hiện tượng.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,82,Triết học Mác - Lênin,false,definition
Không gian và thời gian có quan hệ thế nào với vật chất?,"Không gian và thời gian là những hình thức tồn tại của vật chất, gắn liền với vật chất đang vận động.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,84,Triết học Mác - Lênin,false,definition
Ý thức có kết cấu gồm những mặt nào theo giáo trình?,"Ý thức có thể được xem xét theo các yếu tố như tri thức, tình cảm, ý chí và theo chiều sâu nội tâm như tự ý thức, tiềm thức, vô thức.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,90,Triết học Mác - Lênin,false,listing
Tự ý thức thuộc cấp độ nào trong kết cấu ý thức?,"Tự ý thức thuộc chiều sâu của nội tâm, thể hiện khả năng con người ý thức về bản thân mình.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,91,Triết học Mác - Lênin,false,definition
Mối liên hệ phổ biến là gì?,"Mối liên hệ phổ biến là sự quy định, tác động, chuyển hóa lẫn nhau giữa các sự vật, hiện tượng hoặc giữa các mặt, yếu tố của cùng một sự vật.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,95,Triết học Mác - Lênin,false,definition
Các tính chất cơ bản của mối liên hệ là gì?,"Mối liên hệ có tính khách quan, tính phổ biến và tính đa dạng, phong phú.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,96,Triết học Mác - Lênin,false,listing
Ý nghĩa phương pháp luận của nguyên lý mối liên hệ phổ biến là gì?,"Nó đòi hỏi phải có quan điểm toàn diện, quan điểm lịch sử - cụ thể và tránh xem xét sự vật một cách phiến diện, cô lập.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,99,Triết học Mác - Lênin,false,methodology
Phạm trù triết học là gì?,"Phạm trù triết học là những khái niệm chung nhất phản ánh những mặt, thuộc tính, mối liên hệ cơ bản và phổ biến của hiện thực.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,101,Triết học Mác - Lênin,false,definition
Cái riêng là gì?,"Cái riêng là một sự vật, hiện tượng, quá trình riêng lẻ nhất định trong hiện thực khách quan.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,103,Triết học Mác - Lênin,false,definition
Cái chung là gì?,"Cái chung là những mặt, thuộc tính, mối liên hệ lặp lại ở nhiều cái riêng.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,103,Triết học Mác - Lênin,false,definition
Quan hệ giữa cái riêng và cái chung có ý nghĩa phương pháp luận gì?,"Cần xuất phát từ cái riêng cụ thể để nhận thức cái chung, đồng thời vận dụng cái chung vào từng điều kiện cụ thể một cách sáng tạo.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,105,Triết học Mác - Lênin,false,methodology
Nguyên nhân là gì?,Nguyên nhân là sự tác động lẫn nhau giữa các mặt trong một sự vật hoặc giữa các sự vật với nhau gây ra một biến đổi nhất định.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,106,Triết học Mác - Lênin,false,definition
Kết quả là gì?,Kết quả là biến đổi xuất hiện do sự tác động lẫn nhau của các nguyên nhân gây ra.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,106,Triết học Mác - Lênin,false,definition
Nguyên nhân và kết quả có quan hệ biện chứng như thế nào?,"Nguyên nhân sinh ra kết quả và xuất hiện trước kết quả, nhưng trong những điều kiện nhất định nguyên nhân và kết quả có thể chuyển hóa vị trí cho nhau.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,107,Triết học Mác - Lênin,false,relationship
Tất nhiên là gì?,"Tất nhiên là cái do những nguyên nhân cơ bản, bên trong của sự vật quy định và trong điều kiện nhất định phải xảy ra như thế chứ không thể khác.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,109,Triết học Mác - Lênin,false,definition
Ngẫu nhiên là gì?,"Ngẫu nhiên là cái do những nguyên nhân bên ngoài, không cơ bản quy định nên có thể xuất hiện hoặc không xuất hiện, có thể thế này hoặc thế khác.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,109,Triết học Mác - Lênin,false,definition
Nội dung là gì?,"Nội dung là tổng hợp tất cả những mặt, yếu tố, quá trình tạo nên sự vật.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,112,Triết học Mác - Lênin,false,definition
Hình thức là gì?,"Hình thức là phương thức tồn tại và phát triển của sự vật, là hệ thống các mối liên hệ tương đối bền vững giữa các yếu tố của nội dung.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,112,Triết học Mác - Lênin,false,definition
Bản chất là gì?,"Bản chất là tổng hợp những mối liên hệ tất nhiên, tương đối ổn định bên trong sự vật, quy định sự vận động và phát triển của sự vật.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,114,Triết học Mác - Lênin,false,definition
Hiện tượng là gì?,Hiện tượng là sự biểu hiện ra bên ngoài của bản chất trong những điều kiện nhất định.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,114,Triết học Mác - Lênin,false,definition
Khả năng là gì?,"Khả năng là cái hiện chưa có nhưng sẽ có, sẽ xuất hiện khi có những điều kiện thích hợp.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,118,Triết học Mác - Lênin,false,definition
Hiện thực là gì?,"Hiện thực là cái đang tồn tại trên thực tế, là khả năng đã được thực hiện.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,119,Triết học Mác - Lênin,false,definition
Quy luật là gì?,"Quy luật là mối liên hệ khách quan, bản chất, tất nhiên, phổ biến và lặp lại giữa các mặt của sự vật hoặc giữa các sự vật.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,121,Triết học Mác - Lênin,false,definition
Chất là gì trong quy luật lượng - chất?,"Chất là tính quy định khách quan vốn có của sự vật, là sự thống nhất hữu cơ của các thuộc tính làm cho sự vật là nó và phân biệt nó với cái khác.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,123,Triết học Mác - Lênin,false,definition
Lượng là gì trong quy luật lượng - chất?,"Lượng là tính quy định khách quan của sự vật về số lượng, quy mô, trình độ, nhịp điệu vận động và phát triển của các thuộc tính.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,124,Triết học Mác - Lênin,false,definition
Bước nhảy là gì?,Bước nhảy là sự chuyển hóa về chất của sự vật do sự thay đổi về lượng đạt tới điểm nút.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,126,Triết học Mác - Lênin,false,definition
Mâu thuẫn biện chứng là gì?,"Mâu thuẫn biện chứng là sự thống nhất và đấu tranh giữa các mặt đối lập trong cùng một sự vật, hiện tượng hoặc quá trình.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,128,Triết học Mác - Lênin,false,definition
Vì sao mâu thuẫn là nguồn gốc của vận động và phát triển?,"Vì sự thống nhất và đấu tranh của các mặt đối lập tạo ra động lực bên trong thúc đẩy sự vật vận động, biến đổi và phát triển.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,129,Triết học Mác - Lênin,false,cause
Phủ định biện chứng là gì?,"Phủ định biện chứng là sự phủ định khách quan, có tính kế thừa, do mâu thuẫn bên trong của sự vật quy định và tạo điều kiện cho sự phát triển.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,132,Triết học Mác - Lênin,false,definition
Quy luật phủ định của phủ định nêu khuynh hướng phát triển như thế nào?,"Quy luật này chỉ ra khuynh hướng phát triển đi lên thông qua những lần phủ định biện chứng, có tính kế thừa và lặp lại trên cơ sở cao hơn.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,133,Triết học Mác - Lênin,false,summary
Quan điểm trước Mác về nhận thức thường có hạn chế gì?,"Nhiều quan điểm trước Mác hoặc duy tâm hóa nhận thức, hoặc trực quan máy móc, chưa thấy đầy đủ vai trò của thực tiễn đối với nhận thức.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,136,Triết học Mác - Lênin,false,comparison
Chủ nghĩa duy vật biện chứng hiểu bản chất nhận thức như thế nào?,"Nhận thức là quá trình phản ánh tích cực, tự giác và sáng tạo hiện thực khách quan vào bộ óc con người trên cơ sở thực tiễn.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,137,Triết học Mác - Lênin,false,definition
Thực tiễn có vai trò gì đối với nhận thức?,"Thực tiễn là cơ sở, động lực, mục đích của nhận thức và là tiêu chuẩn kiểm tra chân lý.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,138,Triết học Mác - Lênin,false,listing
Nhận thức kinh nghiệm là gì?,"Nhận thức kinh nghiệm là trình độ nhận thức hình thành trực tiếp từ quan sát, trải nghiệm và hoạt động thực tiễn.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,143,Triết học Mác - Lênin,false,definition
Nhận thức lý luận là gì?,"Nhận thức lý luận là trình độ nhận thức gián tiếp, khái quát, hệ thống hóa bản chất và quy luật của sự vật.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,143,Triết học Mác - Lênin,false,definition
Nhận thức thông thường khác nhận thức khoa học ở điểm nào?,"Nhận thức thông thường mang tính trực tiếp, kinh nghiệm đời sống; nhận thức khoa học có tính hệ thống, lý luận, phương pháp và kiểm chứng chặt chẽ hơn.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,144,Triết học Mác - Lênin,false,comparison
Chân lý là gì?,Chân lý là tri thức phù hợp với hiện thực khách quan và được thực tiễn kiểm nghiệm.,75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,145,Triết học Mác - Lênin,false,definition
Xã hội được xem là bộ phận đặc thù của tự nhiên vì sao?,"Vì xã hội nảy sinh từ tự nhiên, tồn tại trong quan hệ với tự nhiên, nhưng có đặc thù là hoạt động có ý thức và quan hệ xã hội của con người.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,148,Triết học Mác - Lênin,false,cause
Quy luật xã hội có đặc điểm gì so với quy luật tự nhiên?,"Quy luật xã hội tồn tại và tác động thông qua hoạt động của con người, thường biểu hiện như những xu hướng khách quan trong những điều kiện lịch sử nhất định.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,149,Triết học Mác - Lênin,false,comparison
Sản xuất vật chất có vai trò gì đối với xã hội?,"Sản xuất vật chất là cơ sở của sự tồn tại và phát triển xã hội, vì nó tạo ra điều kiện vật chất cho đời sống con người.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,151,Triết học Mác - Lênin,false,definition
Phương thức sản xuất là gì?,"Phương thức sản xuất là cách thức con người tiến hành sản xuất vật chất trong một giai đoạn lịch sử nhất định, gồm lực lượng sản xuất và quan hệ sản xuất.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,152,Triết học Mác - Lênin,false,definition
Lực lượng sản xuất là gì?,"Lực lượng sản xuất là sự thống nhất giữa người lao động với tư liệu sản xuất, thể hiện năng lực thực tiễn của con người trong quá trình sản xuất.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,152,Triết học Mác - Lênin,false,definition
Quan hệ sản xuất là gì?,"Quan hệ sản xuất là quan hệ giữa người với người trong quá trình sản xuất, gồm quan hệ sở hữu, tổ chức quản lý và phân phối sản phẩm.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,153,Triết học Mác - Lênin,false,definition
Ý thức khoa học là gì?,"Ý thức khoa học là hình thái ý thức xã hội phản ánh hiện thực bằng hệ thống tri thức khái quát, logic, có căn cứ và được kiểm chứng.",75770b9b-cdbf-4038-90e2-f25e1f4426fe_triethocmaclenin.pdf,198,Triết học Mác - Lênin,false,definition
